Timestamp,City,PM2.5,PM10,NO2,NH3,CO,SO2,O3,PM2.5_was_missing,PM10_was_missing,NO2_was_missing,NH3_was_missing,CO_was_missing,SO2_was_missing,O3_was_missing,AQI,n_avail_sub
2020-01-01,Bengaluru,43.67,134.0,20.28,10.98,0.91,3.41,21.82,1,1,1,1,1,1,1,122.9261744966443,7
2020-01-02,Bengaluru,43.67,134.0,20.28,10.98,0.91,3.41,21.82,0,0,0,0,0,0,0,122.9261744966443,7
2020-01-03,Bengaluru,30.58,74.42,15.17,12.1,0.96,3.27,23.31,0,0,0,0,0,0,0,74.42,6
2020-01-04,Bengaluru,66.35,155.68,42.9,11.75,2.54,3.26,29.7,0,0,0,0,0,0,0,137.3310067114094,7
2020-01-05,Bengaluru,48.0,99.13,18.56,9.79,1.14,2.95,31.01,0,0,0,0,0,0,0,99.13,7
2020-01-06,Bengaluru,23.75,63.34,17.21,7.4,1.08,2.82,25.82,0,0,0,0,0,0,0,63.34,6
2020-01-07,Bengaluru,24.67,72.0,17.2,7.66,0.98,2.97,30.37,0,0,0,0,0,0,0,72.0,7
2020-01-08,Bengaluru,34.18,79.06,18.16,9.35,0.99,2.99,29.61,0,0,0,0,0,0,0,79.06,7
2020-01-09,Bengaluru,41.61,98.0,21.49,11.21,1.11,2.98,30.97,0,0,0,0,0,0,0,98.0,7
2020-01-10,Bengaluru,38.95,97.7,19.77,12.8,0.97,3.34,31.89,0,0,0,0,0,0,0,97.7,7
2020-01-11,Bengaluru,34.05,77.56,21.34,12.08,1.01,3.07,34.36,0,0,0,0,0,0,0,77.56,6
2020-01-12,Bengaluru,39.12,75.93,17.88,16.07,0.96,2.96,44.84,0,0,0,0,0,0,0,75.93,7
2020-01-13,Bengaluru,38.839999999999996,80.1975,24.697499999999998,15.04,0.89,3.2075,37.675000000000004,1,1,1,1,1,1,1,80.1975,7
2020-01-14,Bengaluru,38.56,84.465,31.515,14.01,0.8200000000000001,3.455,30.51,1,1,1,1,1,1,1,84.465,7
2020-01-15,Bengaluru,38.28,88.7325,38.332499999999996,12.98,0.75,3.7025,23.345000000000002,1,1,1,1,1,1,1,88.7325,7
2020-01-16,Bengaluru,38.0,93.0,45.15,11.95,0.68,3.95,16.18,0,0,0,0,0,0,0,93.0,7
2020-01-17,Bengaluru,42.96,112.6,30.73,14.73,1.38,3.2,26.75,0,0,0,0,0,0,0,108.70738255033557,7
2020-01-18,Bengaluru,26.8,59.0,16.92,11.34,1.02,3.18,31.02,0,0,0,0,0,0,0,59.0,6
2020-01-19,Bengaluru,22.19,56.56,12.35,8.4,0.97,3.19,39.56,0,0,0,0,0,0,0,56.56,7
2020-01-20,Bengaluru,34.24,100.22,26.62,9.03,1.1,3.23,31.6,0,0,0,0,0,0,0,56.474482758620695,6
2020-01-21,Bengaluru,37.5,102.51,33.74,9.73,1.16,3.25,29.45,0,0,0,0,0,0,0,102.00328859060403,7
2020-01-22,Bengaluru,34.48,86.75,26.2,9.86,1.11,3.22,34.25,0,0,0,0,0,0,0,86.75,7
2020-01-23,Bengaluru,46.65,98.18,20.54,9.95,1.09,3.19,33.52,0,0,0,0,0,0,0,98.18,6
2020-01-24,Bengaluru,38.05,96.7,40.46,8.42,1.16,2.87,40.62,0,0,0,0,0,0,0,96.7,6
2020-01-25,Bengaluru,48.78,112.69,41.56,9.77,1.26,2.86,29.72,0,0,0,0,0,0,0,108.76718120805369,7
2020-01-26,Bengaluru,51.86,111.57,41.8,12.05,1.29,2.81,25.68,0,0,0,0,0,0,0,108.02302013422819,7
2020-01-27,Bengaluru,74.23,169.38,48.11,15.29,1.97,2.88,25.19,0,0,0,0,0,0,0,146.43369127516777,7
2020-01-28,Bengaluru,61.95,162.59,53.65,12.5,1.62,2.89,24.9,0,0,0,0,0,0,0,141.92221476510068,7
2020-01-29,Bengaluru,59.67,140.87,40.89,12.73,1.39,2.78,25.4,0,0,0,0,0,0,0,127.49080536912751,6
2020-01-30,Bengaluru,72.46,191.19,63.83,13.42,1.93,2.83,24.72,0,0,0,0,0,0,0,160.92489932885906,7
2020-01-31,Bengaluru,53.61,133.86,33.53,12.63,1.31,2.91,36.37,0,0,0,0,0,0,0,122.83315436241611,7
2020-02-01,Bengaluru,57.62,112.99,16.11,12.28,0.99,3.17,40.39,0,0,0,0,0,0,0,108.96651006711409,7
2020-02-02,Bengaluru,41.16,82.0,11.26,9.53,0.9,2.82,30.25,0,0,0,0,0,0,0,82.0,7
2020-02-03,Bengaluru,36.32,89.84,26.36,8.44,1.06,2.73,36.14,0,0,0,0,0,0,0,89.84,6
2020-02-04,Bengaluru,34.42,90.27,20.24,8.8,1.06,2.58,37.66,0,0,0,0,0,0,0,90.27,6
2020-02-05,Bengaluru,34.2,82.97,19.62,8.91,1.04,2.66,34.19,0,0,0,0,0,0,0,82.97,6
2020-02-06,Bengaluru,45.36,101.46,30.66,9.39,1.28,2.62,32.46,0,0,0,0,0,0,0,101.30563758389262,7
2020-02-07,Bengaluru,60.29,132.17,35.42,10.61,1.29,2.87,36.41,0,0,0,0,0,0,0,121.71026845637583,6
2020-02-08,Bengaluru,56.24,133.18,33.64,10.11,1.38,2.66,34.83,0,0,0,0,0,0,0,122.3813422818792,7
2020-02-09,Bengaluru,42.09,85.5,15.75,9.15,0.96,2.91,43.23,0,0,0,0,0,0,0,85.5,7
2020-02-10,Bengaluru,36.13,84.37,17.08,8.11,1.02,2.66,35.28,0,0,0,0,0,0,0,84.37,6
2020-02-11,Bengaluru,38.0,95.19,26.81,7.61,1.09,2.66,36.65,0,0,0,0,0,0,0,95.19,6
2020-02-12,Bengaluru,37.86,85.53,21.52,7.51,1.02,2.67,31.28,0,0,0,0,0,0,0,85.53,6
2020-02-13,Bengaluru,39.13,100.44,39.89,7.81,1.28,2.75,38.64,0,0,0,0,0,0,0,64.73689655172414,6
2020-02-14,Bengaluru,52.4,125.07,49.16,10.45,1.87,2.7,40.61,0,0,0,0,0,0,0,116.9928187919463,7
2020-02-15,Bengaluru,56.35,130.38,55.33,10.87,1.62,2.78,33.98,0,0,0,0,0,0,0,120.52093959731543,7
2020-02-16,Bengaluru,41.71,91.29,38.35,9.35,1.12,2.83,34.55,0,0,0,0,0,0,0,91.29,7
2020-02-17,Bengaluru,44.28,101.74,41.7,10.65,1.43,2.76,47.27,0,0,0,0,0,0,0,101.49167785234899,7
2020-02-18,Bengaluru,43.68,95.16,34.38,10.76,1.15,2.73,51.71,0,0,0,0,0,0,0,95.16,7
2020-02-19,Bengaluru,45.45,99.09,32.09,10.61,1.03,2.61,34.7,0,0,0,0,0,0,0,99.09,6
2020-02-20,Bengaluru,48.49,101.79,29.29,11.29,1.02,2.75,30.09,0,0,0,0,0,0,0,101.52489932885906,6
2020-02-21,Bengaluru,30.5,67.75,19.38,10.48,0.94,2.54,38.24,0,0,0,0,0,0,0,67.75,6
2020-02-22,Bengaluru,33.7,79.15,17.87,11.04,0.96,2.55,41.95,0,0,0,0,0,0,0,79.15,7
2020-02-23,Bengaluru,37.16,86.35,12.62,10.23,1.0,2.6,33.31,0,0,0,0,0,0,0,86.35,7
2020-02-24,Bengaluru,38.52,94.0,15.02,9.0,1.08,2.55,32.83,0,0,0,0,0,0,0,94.0,6
2020-02-25,Bengaluru,42.18,108.38,28.13,9.96,1.1,2.62,38.66,0,0,0,0,0,0,0,105.9034899328859,7
2020-02-26,Bengaluru,35.6,94.6,18.75,9.46,1.09,2.56,35.5,0,0,0,0,0,0,0,94.6,6
2020-02-27,Bengaluru,38.76,102.95,30.46,9.43,1.24,2.58,34.7,0,0,0,0,0,0,0,102.29563758389261,7
2020-02-28,Bengaluru,39.33,94.53,25.47,9.72,1.2,2.56,30.82,0,0,0,0,0,0,0,94.53,7
2020-02-29,Bengaluru,37.66,96.49,23.04,9.38,1.16,2.58,39.89,0,0,0,0,0,0,0,96.49,7
2020-03-01,Bengaluru,43.51,96.91,15.49,9.34,1.08,2.69,49.64,0,0,0,0,0,0,0,96.91,6
2020-03-02,Bengaluru,63.49,137.43,33.66,10.04,1.48,2.67,32.05,0,0,0,0,0,0,0,125.2051677852349,7
2020-03-03,Bengaluru,76.92,178.58,42.02,11.46,1.88,2.69,30.56,0,0,0,0,0,0,0,155.34758620689655,7
2020-03-04,Bengaluru,64.23,150.84,53.35,11.33,1.97,2.74,39.68,0,0,0,0,0,0,0,134.11516778523492,7
2020-03-05,Bengaluru,52.51,130.1,34.06,11.65,1.42,2.77,32.75,0,0,0,0,0,0,0,120.33489932885905,7
2020-03-06,Bengaluru,26.76,98.67,34.37,10.08,1.35,2.54,55.93,0,0,0,0,0,0,0,98.67,7
2020-03-07,Bengaluru,37.77,105.82,24.58,13.25,1.26,2.65,31.2,0,0,0,0,0,0,0,104.20255033557046,7
2020-03-08,Bengaluru,26.61,79.84,13.73,13.01,1.1,2.58,32.0,0,0,0,0,0,0,0,79.84,7
2020-03-09,Bengaluru,29.22,91.32,22.92,11.76,1.17,2.55,33.0,0,0,0,0,0,0,0,91.32,7
2020-03-10,Bengaluru,30.92,91.06,18.66,11.01,1.11,2.69,36.54,0,0,0,0,0,0,0,91.06,6
2020-03-11,Bengaluru,30.5,98.56,24.55,9.72,1.22,2.72,31.37,0,0,0,0,0,0,0,98.56,6
2020-03-12,Bengaluru,30.24,92.55,26.87,9.04,1.21,2.63,27.17,0,0,0,0,0,0,0,92.55,6
2020-03-13,Bengaluru,28.75,90.92,20.58,9.52,1.1,2.67,26.04,0,0,0,0,0,0,0,90.92,7
2020-03-14,Bengaluru,27.26,79.28,18.21,8.82,1.03,2.56,22.38,0,0,0,0,0,0,0,79.28,6
2020-03-15,Bengaluru,25.74,76.92,17.2,10.36,1.0,2.63,25.31,0,0,0,0,0,0,0,76.92,7
2020-03-16,Bengaluru,20.83,68.97,10.79,8.43,0.91,2.62,31.16,0,0,0,0,0,0,0,68.97,7
2020-03-17,Bengaluru,22.98,70.57,9.79,7.7,0.92,2.58,32.87,0,0,0,0,0,0,0,70.57,7
2020-03-18,Bengaluru,30.67,63.14,12.04,8.47,0.96,2.6,38.53,0,0,0,0,0,0,0,63.14,6
2020-03-19,Bengaluru,40.36,91.0,24.7,9.96,1.21,2.76,41.7,0,0,0,0,0,0,0,91.0,7
2020-03-20,Bengaluru,37.92,80.32,26.21,11.24,1.21,2.63,43.45,0,0,0,0,0,0,0,80.32,7
2020-03-21,Bengaluru,39.7,88.94,38.41,9.0,1.47,2.44,28.74,0,0,0,0,0,0,0,88.94,7
2020-03-22,Bengaluru,23.03,48.83,10.14,11.25,0.91,2.57,24.67,0,0,0,0,0,0,0,48.83,7
2020-03-23,Bengaluru,43.45,76.1,20.88,13.61,1.28,2.67,29.62,0,0,0,0,0,0,0,76.1,7
2020-03-24,Bengaluru,42.63,72.37,11.46,11.87,0.94,2.76,34.64,0,0,0,0,0,0,0,72.37,7
2020-03-25,Bengaluru,16.76,41.84,4.94,9.26,0.82,2.56,44.27,0,0,0,0,0,0,0,44.27,7
2020-03-26,Bengaluru,19.87,48.93,4.21,8.79,0.88,2.62,36.78,0,0,0,0,0,0,0,48.93,7
2020-03-27,Bengaluru,17.29,41.42,4.33,8.28,0.85,2.59,44.17,0,0,0,0,0,0,0,44.17,7
2020-03-28,Bengaluru,17.14,43.27,5.95,7.55,0.83,2.68,31.82,0,0,0,0,0,0,0,43.27,7
2020-03-29,Bengaluru,20.69,41.91,9.42,8.03,0.89,2.72,37.98,0,0,0,0,0,0,0,44.5,7
2020-03-30,Bengaluru,13.92,36.92,5.46,7.93,0.82,2.76,44.29,0,0,0,0,0,0,0,44.29,7
2020-03-31,Bengaluru,20.17,44.94,6.32,8.57,0.86,2.73,33.19,0,0,0,0,0,0,0,44.94,7
2020-04-01,Bengaluru,21.38,50.72,5.59,8.15,0.87,2.75,27.75,0,0,0,0,0,0,0,43.5,6
2020-04-02,Bengaluru,28.42,55.3,5.19,8.99,0.59,2.1,36.25,0,0,0,0,0,0,0,55.3,7
2020-04-03,Bengaluru,31.85,58.45,5.43,8.71,0.31,1.33,43.44,0,0,0,0,0,0,0,58.45,7
2020-04-04,Bengaluru,28.5,58.17,5.07,8.26,0.31,1.31,35.03,0,0,0,0,0,0,0,58.17,7
2020-04-05,Bengaluru,28.25,54.16,5.0,7.95,0.31,1.29,34.2,0,0,0,0,0,0,0,54.16,7
2020-04-06,Bengaluru,18.99,43.53,7.68,6.75,0.35,1.16,33.34,0,0,0,0,0,0,0,43.53,7
2020-04-07,Bengaluru,9.07,23.4,9.0,22.9,0.36,1.04,31.98,0,0,0,0,0,0,0,31.98,7
2020-04-08,Bengaluru,16.68,33.77,10.16,13.86,0.46,1.23,34.05,0,0,0,0,0,0,0,34.05,7
2020-04-09,Bengaluru,17.11,39.69,8.42,14.19,0.59,1.39,36.42,0,0,0,0,0,0,0,39.69,7
2020-04-10,Bengaluru,12.52,27.39,6.98,12.93,0.5,1.38,35.14,0,0,0,0,0,0,0,35.14,7
2020-04-11,Bengaluru,23.08,42.22,5.33,14.32,0.49,1.29,30.67,0,0,0,0,0,0,0,42.22,7
