City,Model,Split,MAE,RMSE,sMAPE,n,epochs_ran
Bengaluru,LSTM,val,30.566143035888672,61.28949818599125,14.189575,182,100
Bengaluru,LSTM,test,27.9813175201416,34.739050587806624,16.505308,184,100
Bengaluru,GRU,val,30.70309066772461,61.42076999133213,14.26935,182,10
Bengaluru,GRU,test,28.04691505432129,34.831663052122025,16.547073,184,10
Delhi,LSTM,val,46.93030548095703,60.34954537486695,10.914482,182,19
Delhi,LSTM,test,39.05231857299805,49.84508716858413,11.353283,184,19
Delhi,GRU,val,45.101539611816406,56.981459429800495,10.515913,182,12
Delhi,GRU,test,32.855587005615234,43.86885779878834,9.667525,184,12
Mumbai,LSTM,val,30.112873077392578,37.40581433800182,16.294474,182,10
Mumbai,LSTM,test,43.52899169921875,51.183099913905906,25.145632,184,10
Mumbai,GRU,val,30.361309051513672,37.643832236752274,16.39548,182,10
Mumbai,GRU,test,43.644874572753906,51.388658179146155,25.182137,184,10
