City,Split,MAE,RMSE,sMAPE,n,Model
Bengaluru,val,28.22047107871685,66.40615288378967,24.08677179618541,182,Naive
Bengaluru,test,23.471866514573428,30.79139385832398,28.427918865156887,183,Naive
Delhi,val,46.21117848189971,63.14246354449619,21.889198367435377,182,Naive
Delhi,test,29.66273836679886,41.42929536387852,17.235310582466585,183,Naive
Mumbai,val,12.045687543021856,17.11107864814535,13.651348360793875,182,Naive
Mumbai,test,11.177839327752698,16.185338287775778,15.703983148810172,183,Naive
Bengaluru,val,42.612518427341385,81.56525761677867,36.0120567844884,182,SeasonalNaive
Bengaluru,test,38.00684614343725,48.83939740536709,43.87250537768864,183,SeasonalNaive
Delhi,val,69.48931593355171,90.4381739329608,31.21421251353785,182,SeasonalNaive
Delhi,test,58.44404080832851,79.49396076585431,29.285043101355477,183,SeasonalNaive
Mumbai,val,23.594518483205405,30.68401962298596,25.973733429442863,182,SeasonalNaive
Mumbai,test,23.189387453212078,30.274457261531264,33.11941201624926,183,SeasonalNaive
Bengaluru,val,31.723823933073778,66.75312179023062,26.44920586493737,147,LinearRegression
Bengaluru,test,27.49635455689265,35.41493796807797,30.83740506077578,167,LinearRegression
Bengaluru,val,30.48397939969136,64.51223265358297,25.663070774985275,147,RandomForest
Bengaluru,test,24.736172656241187,31.175775653136053,28.45238716215478,167,RandomForest
Delhi,val,46.425536489995984,60.96925431755271,21.70450975423756,182,LinearRegression
Delhi,test,42.30431325718398,55.66454000567289,23.50990740550338,183,LinearRegression
Delhi,val,53.11243070568136,65.81603073032947,24.99076503813393,182,RandomForest
Delhi,test,44.253950260753136,59.19380107079758,22.884810422292578,183,RandomForest
Mumbai,val,20.368843271812384,25.73643072781096,23.59189587244295,182,LinearRegression
Mumbai,test,16.426281670705926,20.453013173342654,22.6112990426494,183,LinearRegression
Mumbai,val,24.499483735350704,31.393482923301764,24.97207676710886,182,RandomForest
Mumbai,test,18.425735082306645,22.85781214023376,23.852516290578823,183,RandomForest
Bengaluru,val,30.566143035888672,61.28949818599125,14.189575,182,LSTM
Bengaluru,test,27.9813175201416,34.739050587806624,16.505308,184,LSTM
Bengaluru,val,30.70533561706543,61.42293427921488,14.27066,182,GRU
Bengaluru,test,28.047985076904297,34.833219050413106,16.547756,184,GRU
Delhi,val,47.57884216308594,59.89295667910898,10.872988,182,LSTM
Delhi,test,43.09892654418945,55.41050859620967,11.291066,184,LSTM
Delhi,val,42.44841003417969,55.04873994499102,9.827053,182,GRU
Delhi,test,34.44629669189453,46.262540529568845,9.907799,184,GRU
Mumbai,val,30.32113265991211,37.60523969787156,16.379168,182,LSTM
Mumbai,test,43.62589645385742,51.35532241769104,25.176147,184,LSTM
Mumbai,val,30.24793243408203,37.53501782970886,16.349426,182,GRU
Mumbai,test,43.59131240844727,51.29467136600911,25.165213,184,GRU
