City,Model,Split,MAE,RMSE,sMAPE,n
Bengaluru,LinearRegression,val,31.723823933073778,66.75312179023062,26.44920586493737,147
Bengaluru,LinearRegression,test,27.496354556892655,35.41493796807797,30.83740506077578,167
Bengaluru,RandomForest,val,30.483979399691357,64.51223265358297,25.663070774985275,147
Bengaluru,RandomForest,test,24.736172656241187,31.175775653136053,28.45238716215478,167
Delhi,LinearRegression,val,46.425536489995984,60.96925431755271,21.704509754237556,182
Delhi,LinearRegression,test,42.30431325718398,55.66454000567289,23.50990740550338,183
Delhi,RandomForest,val,53.112430705681355,65.81603073032947,24.990765038133926,182
Delhi,RandomForest,test,44.253950260753136,59.19380107079758,22.884810422292578,183
Mumbai,LinearRegression,val,20.368843271812384,25.736430727810962,23.59189587244295,182
Mumbai,LinearRegression,test,16.426281670705926,20.453013173342658,22.611299042649396,183
Mumbai,RandomForest,val,24.499483735350704,31.393482923301764,24.97207676710886,182
Mumbai,RandomForest,test,18.425735082306645,22.85781214023376,23.852516290578823,183
